state,county,fips,year,dvotes,rvotes
AL,AUTAUGA,1001,1984,3366,8350
AL,AUTAUGA,1001,1988,3667,7828
AL,AUTAUGA,1001,1992,4816,8712
AL,AUTAUGA,1001,1996,5012,9515
AL,AUTAUGA,1001,2000,4942,11993
AL,AUTAUGA,1001,2004,4758,15196
AL,AUTAUGA,1001,2008,6093,17403
AL,AUTAUGA,1001,2012,6354,17366
AL,AUTAUGA,1001,2016,5908,18110
AL,BALDWIN,1003,1984,7272,24964
AL,BALDWIN,1003,1988,9271,25933
AL,BALDWIN,1003,1992,12177,26259
AL,BALDWIN,1003,1996,12769,29496
AL,BALDWIN,1003,2000,13997,40872
AL,BALDWIN,1003,2004,15599,52971
AL,BALDWIN,1003,2008,19386,61271
AL,BALDWIN,1003,2012,18329,65772
AL,BALDWIN,1003,2016,18409,72780
AL,BARBOUR,1005,1984,4591,5459
AL,BARBOUR,1005,1988,3836,4958
AL,BARBOUR,1005,1992,4840,4475
AL,BARBOUR,1005,1996,4790,3626
AL,BARBOUR,1005,2000,5188,5096
AL,BARBOUR,1005,2004,4832,5899
AL,BARBOUR,1005,2008,5697,5866
AL,BARBOUR,1005,2012,5873,5539
AL,BARBOUR,1005,2016,4848,5431
AL,BIBB,1007,1984,2167,3487
AL,BIBB,1007,1988,2244,2885
AL,BIBB,1007,1992,2903,3125
AL,BIBB,1007,1996,2772,3037
AL,BIBB,1007,2000,2710,4273
AL,BIBB,1007,2004,2089,5472
AL,BIBB,1007,2008,2299,6262
AL,BIBB,1007,2012,2200,6131
AL,BIBB,1007,2016,1874,6733
AL,BLOUNT,1009,1984,3738,8508
AL,BLOUNT,1009,1988,4485,8754
AL,BLOUNT,1009,1992,5430,8880
AL,BLOUNT,1009,1996,5058,9058
AL,BLOUNT,1009,2000,4977,12667
AL,BLOUNT,1009,2004,3938,17386
AL,BLOUNT,1009,2008,3522,20389
AL,BLOUNT,1009,2012,2961,20741
AL,BLOUNT,1009,2016,2150,22808
AL,BULLOCK,1011,1984,3537,1697
AL,BULLOCK,1011,1988,3122,1421
AL,BULLOCK,1011,1992,3260,1252
AL,BULLOCK,1011,1996,3078,1153
AL,BULLOCK,1011,2000,3395,1433
AL,BULLOCK,1011,2004,3210,1494
AL,BULLOCK,1011,2008,4011,1391
AL,BULLOCK,1011,2012,4058,1250
AL,BULLOCK,1011,2016,3530,1139
AL,BUTLER,1013,1984,3641,4941
AL,BUTLER,1013,1988,3465,3923
AL,BUTLER,1013,1992,4019,3493
AL,BUTLER,1013,1996,3831,3349
AL,BUTLER,1013,2000,3606,4127
AL,BUTLER,1013,2004,3413,4979
AL,BUTLER,1013,2008,4188,5485
AL,BUTLER,1013,2012,4367,5081
AL,BUTLER,1013,2016,3716,4891
AL,CALHOUN,1015,1984,12752,23291
AL,CALHOUN,1015,1988,12451,19806
AL,CALHOUN,1015,1992,16435,20630
AL,CALHOUN,1015,1996,15724,18086
AL,CALHOUN,1015,2000,15781,22306
AL,CALHOUN,1015,2004,15083,29814
AL,CALHOUN,1015,2008,16334,32348
AL,CALHOUN,1015,2012,15500,30272
AL,CALHOUN,1015,2016,13197,32803
AL,CHAMBERS,1017,1984,5302,8024
AL,CHAMBERS,1017,1988,5103,7694
AL,CHAMBERS,1017,1992,5943,5681
AL,CHAMBERS,1017,1996,5515,4705
AL,CHAMBERS,1017,2000,5616,6037
AL,CHAMBERS,1017,2004,5347,7622
AL,CHAMBERS,1017,2008,6799,8067
AL,CHAMBERS,1017,2012,6853,7596
AL,CHAMBERS,1017,2016,5763,7803
AL,CHEROKEE,1019,1984,3029,3225
AL,CHEROKEE,1019,1988,3176,2868
AL,CHEROKEE,1019,1992,4222,2749
AL,CHEROKEE,1019,1996,4396,3048
AL,CHEROKEE,1019,2000,3497,4154
AL,CHEROKEE,1019,2004,3040,5923
AL,CHEROKEE,1019,2008,2306,7298
AL,CHEROKEE,1019,2012,2126,7494
AL,CHEROKEE,1019,2016,1524,8809
AL,CHILTON,1021,1984,3924,8243
AL,CHILTON,1021,1988,3820,8761
AL,CHILTON,1021,1992,4948,8131
AL,CHILTON,1021,1996,5354,7910
AL,CHILTON,1021,2000,4806,10066
AL,CHILTON,1021,2004,3778,12829
AL,CHILTON,1021,2008,3674,13960
AL,CHILTON,1021,2012,3391,13910
AL,CHILTON,1021,2016,2909,15068
AL,CHOCTAW,1023,1984,3373,3960
AL,CHOCTAW,1023,1988,3491,3629
AL,CHOCTAW,1023,1992,3939,3069
AL,CHOCTAW,1023,1996,4072,2624
AL,CHOCTAW,1023,2000,3707,3600
AL,CHOCTAW,1023,2004,3303,3897
AL,CHOCTAW,1023,2008,3636,4223
AL,CHOCTAW,1023,2012,3785,4150
AL,CHOCTAW,1023,2016,3109,4102
AL,CLARKE,1025,1984,4452,6282
AL,CLARKE,1025,1988,4217,5708
AL,CLARKE,1025,1992,5027,5495
AL,CLARKE,1025,1996,4826,4786
AL,CLARKE,1025,2000,4679,5988
AL,CLARKE,1025,2004,4627,6730
AL,CLARKE,1025,2008,5914,7466
AL,CLARKE,1025,2012,6317,7463
AL,CLARKE,1025,2016,5712,7109
AL,CLAY,1027,1984,1456,3432
AL,CLAY,1027,1988,1602,3496
AL,CLAY,1027,1992,2072,2860
AL,CLAY,1027,1996,2305,2695
AL,CLAY,1027,2000,2045,3719
AL,CLAY,1027,2004,1893,4624
AL,CLAY,1027,2008,1760,4984
AL,CLAY,1027,2012,1770,4802
AL,CLAY,1027,2016,1234,5230
AL,CLEBURNE,1029,1984,1238,3259
AL,CLEBURNE,1029,1988,1383,3071
AL,CLEBURNE,1029,1992,2142,2425
AL,CLEBURNE,1029,1996,1739,2061
AL,CLEBURNE,1029,2000,1664,3333
AL,CLEBURNE,1029,2004,1391,4370
AL,CLEBURNE,1029,2008,1168,5216
AL,CLEBURNE,1029,2012,971,5269
AL,CLEBURNE,1029,2016,684,5738
AL,COFFEE,1031,1984,4370,10558
AL,COFFEE,1031,1988,4319,8890
AL,COFFEE,1031,1992,5778,7596
AL,COFFEE,1031,1996,5168,7802
AL,COFFEE,1031,2000,5220,9938
AL,COFFEE,1031,2004,4480,13019
AL,COFFEE,1031,2008,5079,14919
AL,COFFEE,1031,2012,4899,14638
AL,COFFEE,1031,2016,4194,15825
AL,COLBERT,1033,1984,11008,9530
AL,COLBERT,1033,1988,10397,7775
AL,COLBERT,1033,1992,12207,8078
AL,COLBERT,1033,1996,10220,8310
AL,COLBERT,1033,2000,10543,10518
AL,COLBERT,1033,2004,10598,13188
AL,COLBERT,1033,2008,9703,14739
AL,COLBERT,1033,2012,9160,13931
AL,COLBERT,1033,2016,7296,16718
AL,CONECUH,1035,1984,2737,3538
AL,CONECUH,1035,1988,3022,3256
AL,CONECUH,1035,1992,3154,2466
AL,CONECUH,1035,1996,2905,2092
AL,CONECUH,1035,2000,2783,2699
AL,CONECUH,1035,2004,2719,3271
AL,CONECUH,1035,2008,3429,3470
AL,CONECUH,1035,2012,3551,3434
AL,CONECUH,1035,2016,3069,3413
AL,COOSA,1037,1984,1781,2585
AL,COOSA,1037,1988,1860,2405
AL,COOSA,1037,1992,2332,1972
AL,COOSA,1037,1996,2119,1723
AL,COOSA,1037,2000,2104,2382
AL,COOSA,1037,2004,2055,2905
AL,COOSA,1037,2008,2273,3248
AL,COOSA,1037,2012,2188,3028
AL,COOSA,1037,2016,1780,3376
AL,COVINGTON,1039,1984,3812,9944
AL,COVINGTON,1039,1988,3845,8130
AL,COVINGTON,1039,1992,4998,6841
AL,COVINGTON,1039,1996,4539,6040
AL,COVINGTON,1039,2000,4440,8961
AL,COVINGTON,1039,2004,3423,11119
AL,COVINGTON,1039,2008,3240,12444
AL,COVINGTON,1039,2012,3155,12148
AL,COVINGTON,1039,2016,2379,13222
AL,CRENSHAW,1041,1984,1904,3261
AL,CRENSHAW,1041,1988,1836,2617
AL,CRENSHAW,1041,1992,2402,2338
AL,CRENSHAW,1041,1996,2170,1939
AL,CRENSHAW,1041,2000,1934,2793
AL,CRENSHAW,1041,2004,1698,3777
AL,CRENSHAW,1041,2008,1938,4319
AL,CRENSHAW,1041,2012,2048,4326
AL,CRENSHAW,1041,2016,1663,4511
AL,CULLMAN,1043,1984,7989,14782
AL,CULLMAN,1043,1988,8517,14351
AL,CULLMAN,1043,1992,10455,14405
AL,CULLMAN,1043,1996,9533,14312
AL,CULLMAN,1043,2000,9758,19157
AL,CULLMAN,1043,2004,8045,26818
AL,CULLMAN,1043,2008,5864,28896
AL,CULLMAN,1043,2012,4855,27930
AL,CULLMAN,1043,2016,3730,32734
AL,DALE,1045,1984,3215,10319
AL,DALE,1045,1988,3476,9266
AL,DALE,1045,1992,5099,8130
AL,DALE,1045,1996,4729,8283
AL,DALE,1045,2000,4906,10593
AL,DALE,1045,2004,4484,13621
AL,DALE,1045,2008,5270,13886
AL,DALE,1045,2012,5283,13105
AL,DALE,1045,2016,4408,13798
AL,DALLAS,1047,1984,10955,9585
AL,DALLAS,1047,1988,9660,7630
AL,DALLAS,1047,1992,11057,7391
AL,DALLAS,1047,1996,10504,6620
AL,DALLAS,1047,2000,10967,7360
AL,DALLAS,1047,2004,11175,7335
AL,DALLAS,1047,2008,13986,6798
AL,DALLAS,1047,2012,14599,6284
AL,DALLAS,1047,2016,12826,5784
AL,DEKALB,1049,1984,7212,12098
AL,DEKALB,1049,1988,7333,11478
AL,DEKALB,1049,1992,8245,10512
AL,DEKALB,1049,1996,6550,9815
AL,DEKALB,1049,2000,7056,12827
AL,DEKALB,1049,2004,7092,16904
AL,DEKALB,1049,2008,5658,17957
AL,DEKALB,1049,2012,5235,18316
AL,DEKALB,1049,2016,3682,21779
AL,ELMORE,1051,1984,4198,11694
AL,ELMORE,1051,1988,4501,10852
AL,ELMORE,1051,1992,6218,11356
AL,ELMORE,1051,1996,6535,12945
AL,ELMORE,1051,2000,6652,16777
AL,ELMORE,1051,2004,6471,22056
AL,ELMORE,1051,2008,8301,25777
AL,ELMORE,1051,2012,8940,26223
AL,ELMORE,1051,2016,8436,27619
AL,ESCAMBIA,1053,1984,3853,8694
AL,ESCAMBIA,1053,1988,4020,6807
AL,ESCAMBIA,1053,1992,4809,5950
AL,ESCAMBIA,1053,1996,4653,5219
AL,ESCAMBIA,1053,2000,4523,6975
AL,ESCAMBIA,1053,2004,3814,8513
AL,ESCAMBIA,1053,2008,5188,9375
AL,ESCAMBIA,1053,2012,5476,9263
AL,ESCAMBIA,1053,2016,4698,10282
AL,ETOWAH,1055,1984,19074,19243
AL,ETOWAH,1055,1988,17762,17828
AL,ETOWAH,1055,1992,20546,17447
AL,ETOWAH,1055,1996,17992,16827
AL,ETOWAH,1055,2000,17433,21087
AL,ETOWAH,1055,2004,15328,26999
AL,ETOWAH,1055,2008,13497,30595
AL,ETOWAH,1055,2012,12792,29102
AL,ETOWAH,1055,2016,10350,32132
AL,FAYETTE,1057,1984,2533,4654
AL,FAYETTE,1057,1988,3186,4338
AL,FAYETTE,1057,1992,3828,3608
AL,FAYETTE,1057,1996,3381,3194
AL,FAYETTE,1057,2000,3064,4582
AL,FAYETTE,1057,2004,2408,5534
AL,FAYETTE,1057,2008,1994,5883
AL,FAYETTE,1057,2012,1803,6034
AL,FAYETTE,1057,2016,1358,6705
AL,FRANKLIN,1059,1984,4601,5304
AL,FRANKLIN,1059,1988,4961,5146
AL,FRANKLIN,1059,1992,5953,4791
AL,FRANKLIN,1059,1996,5031,4444
AL,FRANKLIN,1059,2000,4793,6119
AL,FRANKLIN,1059,2004,4514,7690
AL,FRANKLIN,1059,2008,3469,8048
AL,FRANKLIN,1059,2012,3171,7567
AL,FRANKLIN,1059,2016,2197,9466
AL,GENEVA,1061,1984,2330,6308
AL,GENEVA,1061,1988,2685,5703
AL,GENEVA,1061,1992,3621,4845
AL,GENEVA,1061,1996,3171,4725
AL,GENEVA,1061,2000,2769,6588
AL,GENEVA,1061,2004,2113,8342
AL,GENEVA,1061,2008,2134,9417
AL,GENEVA,1061,2012,2039,9173
AL,GENEVA,1061,2016,1522,9967
AL,GREENE,1063,1984,3675,1361
AL,GREENE,1063,1988,3295,1048
AL,GREENE,1063,1992,3866,805
AL,GREENE,1063,1996,3526,796
AL,GREENE,1063,2000,3504,850
AL,GREENE,1063,2004,3764,958
AL,GREENE,1063,2008,4408,876
AL,GREENE,1063,2012,4514,799
AL,GREENE,1063,2016,4006,838
AL,HALE,1065,1984,3289,2691
AL,HALE,1065,1988,3187,2414
AL,HALE,1065,1992,3481,2000
AL,HALE,1065,1996,3371,1894
AL,HALE,1065,2000,4652,2984
AL,HALE,1065,2004,4631,3281
AL,HALE,1065,2008,4982,3200
AL,HALE,1065,2012,5401,3205
AL,HALE,1065,2016,4772,3172
AL,HENRY,1067,1984,2231,3952
AL,HENRY,1067,1988,2206,3613
AL,HENRY,1067,1992,2801,2970
AL,HENRY,1067,1996,3020,3080
AL,HENRY,1067,2000,2782,4054
AL,HENRY,1067,2004,2452,4881
AL,HENRY,1067,2008,3018,5585
AL,HENRY,1067,2012,3046,5605
AL,HENRY,1067,2016,2286,5623
AL,HOUSTON,1069,1984,6488,20834
AL,HOUSTON,1069,1988,7001,19989
AL,HOUSTON,1069,1992,8868,17350
AL,HOUSTON,1069,1996,8784,17483
AL,HOUSTON,1069,2000,9412,22150
AL,HOUSTON,1069,2004,9144,26874
AL,HOUSTON,1069,2008,12225,29254
AL,HOUSTON,1069,2012,12348,29214
AL,HOUSTON,1069,2016,10547,30567
AL,JACKSON,1071,1984,7635,6730
AL,JACKSON,1071,1988,7418,6090
AL,JACKSON,1071,1992,10631,5713
AL,JACKSON,1071,1996,8199,5648
AL,JACKSON,1071,2000,9066,8475
AL,JACKSON,1071,2004,8635,11534
AL,JACKSON,1071,2008,6374,14083
AL,JACKSON,1071,2012,5817,14422
AL,JACKSON,1071,2016,3663,16643
AL,JEFFERSON,1073,1984,107506,158362
AL,JEFFERSON,1073,1988,107766,148879
AL,JEFFERSON,1073,1992,125830,149741
AL,JEFFERSON,1073,1996,120278,130975
AL,JEFFERSON,1073,2000,129889,138491
AL,JEFFERSON,1073,2004,132286,158680
AL,JEFFERSON,1073,2008,166121,149921
AL,JEFFERSON,1073,2012,159658,141413
AL,JEFFERSON,1073,2016,151581,130614
AL,LAMAR,1075,1984,1910,3943
AL,LAMAR,1075,1988,2274,3214
AL,LAMAR,1075,1992,2849,3263
AL,LAMAR,1075,1996,2846,2955
AL,LAMAR,1075,2000,2653,4470
AL,LAMAR,1075,2004,1956,4894
AL,LAMAR,1075,2008,1614,5419
AL,LAMAR,1075,2012,1643,5453
AL,LAMAR,1075,2016,1035,5819
AL,LAUDERDALE,1077,1984,12907,15354
AL,LAUDERDALE,1077,1988,12862,12942
AL,LAUDERDALE,1077,1992,15933,13739
AL,LAUDERDALE,1077,1996,13605,14061
AL,LAUDERDALE,1077,2000,13875,17478
AL,LAUDERDALE,1077,2004,14628,22161
AL,LAUDERDALE,1077,2008,13329,24068
AL,LAUDERDALE,1077,2012,12504,23902
AL,LAUDERDALE,1077,2016,9877,27735
AL,LAWRENCE,1079,1984,4866,4466
AL,LAWRENCE,1079,1988,4646,3616
AL,LAWRENCE,1079,1992,6362,3581
AL,LAWRENCE,1079,1996,5254,3895
AL,LAWRENCE,1079,2000,6296,5671
AL,LAWRENCE,1079,2004,6155,7730
AL,LAWRENCE,1079,2008,5164,9277
AL,LAWRENCE,1079,2012,5055,8855
AL,LAWRENCE,1079,2016,3611,10732
AL,LEE,1081,1984,9077,16757
AL,LEE,1081,1988,9078,17180
AL,LEE,1081,1992,13770,16893
AL,LEE,1081,1996,12920,17969
AL,LEE,1081,2000,14574,22433
AL,LEE,1081,2004,16227,27972
AL,LEE,1081,2008,21498,32230
AL,LEE,1081,2012,21274,32062
AL,LEE,1081,2016,20987,34321
AL,LIMESTONE,1083,1984,5410,8423
AL,LIMESTONE,1083,1988,5455,9086
AL,LIMESTONE,1083,1992,8077,9870
AL,LIMESTONE,1083,1996,8045,10858
AL,LIMESTONE,1083,2000,8992,14204
AL,LIMESTONE,1083,2004,9126,19702
AL,LIMESTONE,1083,2008,9536,23598
AL,LIMESTONE,1083,2012,9809,25263
AL,LIMESTONE,1083,2016,9340,28824
AL,LOWNDES,1085,1984,3567,1629
AL,LOWNDES,1085,1988,3328,1405
AL,LOWNDES,1085,1992,3501,1328
AL,LOWNDES,1085,1996,3972,1371
AL,LOWNDES,1085,2000,4557,1638
AL,LOWNDES,1085,2004,4233,1786
AL,LOWNDES,1085,2008,5449,1809
AL,LOWNDES,1085,2012,5747,1754
AL,LOWNDES,1085,2016,4882,1751
AL,MACON,1087,1984,7857,1543
AL,MACON,1087,1988,6351,1304
AL,MACON,1087,1992,7255,1130
AL,MACON,1087,1996,7022,984
AL,MACON,1087,2000,7665,1091
AL,MACON,1087,2004,7800,1570
AL,MACON,1087,2008,9450,1396
AL,MACON,1087,2012,9045,1322
AL,MACON,1087,2016,7237,1394
AL,MADISON,1089,1984,26889,50428
AL,MADISON,1089,1988,25800,53575
AL,MADISON,1089,1992,38928,51437
AL,MADISON,1089,1996,42260,50429
AL,MADISON,1089,2000,48199,62151
AL,MADISON,1089,2004,52644,77173
AL,MADISON,1089,2008,64117,86965
AL,MADISON,1089,2012,61802,90679
AL,MADISON,1089,2016,62435,89199
AL,MARENGO,1091,1984,4811,5261
AL,MARENGO,1091,1988,4402,4241
AL,MARENGO,1091,1992,5633,4475
AL,MARENGO,1091,1996,4898,4015
AL,MARENGO,1091,2000,4841,4690
AL,MARENGO,1091,2004,5037,5255
AL,MARENGO,1091,2008,5926,5516
AL,MARENGO,1091,2012,6154,5321
AL,MARENGO,1091,2016,5607,5224
AL,MARION,1093,1984,3918,6771
AL,MARION,1093,1988,4505,5955
AL,MARION,1093,1992,6171,5693
AL,MARION,1093,1996,5047,4744
AL,MARION,1093,2000,4600,6910
AL,MARION,1093,2004,3808,8983
AL,MARION,1093,2008,2600,9536
AL,MARION,1093,2012,2249,9696
AL,MARION,1093,2016,1432,11273
AL,MARSHALL,1095,1984,7704,12330
AL,MARSHALL,1095,1988,7357,12148
AL,MARSHALL,1095,1992,10420,12236
AL,MARSHALL,1095,1996,8714,12326
AL,MARSHALL,1095,2000,10381,17084
AL,MARSHALL,1095,2004,8452,22783
AL,MARSHALL,1095,2008,7038,25727
AL,MARSHALL,1095,2012,6271,25785
AL,MARSHALL,1095,2016,4913,29217
AL,MOBILE,1097,1984,47252,81923
AL,MOBILE,1097,1988,45524,72203
AL,MOBILE,1097,1992,54927,72901
AL,MOBILE,1097,1996,54773,66743
AL,MOBILE,1097,2000,58640,78162
AL,MOBILE,1097,2004,63732,92014
AL,MOBILE,1097,2008,82181,98049
AL,MOBILE,1097,2012,78417,94566
AL,MOBILE,1097,2016,68429,91087
AL,MONROE,1099,1984,3725,5917
AL,MONROE,1099,1988,3509,5379
AL,MONROE,1099,1992,3869,4921
AL,MONROE,1099,1996,3818,4384
AL,MONROE,1099,2000,3741,5153
AL,MONROE,1099,2004,3666,5831
AL,MONROE,1099,2008,5025,6175
AL,MONROE,1099,2012,4897,5730
AL,MONROE,1099,2016,4310,5771
AL,MONTGOMERY,1101,1984,31206,43328
AL,MONTGOMERY,1101,1988,28709,41131
AL,MONTGOMERY,1101,1992,37304,40750
AL,MONTGOMERY,1101,1996,38348,37797
AL,MONTGOMERY,1101,2000,40371,38827
AL,MONTGOMERY,1101,2004,45160,44097
AL,MONTGOMERY,1101,2008,62166,42031
AL,MONTGOMERY,1101,2012,62993,38283
AL,MONTGOMERY,1101,2016,58669,33928
AL,MORGAN,1103,1984,11324,24103
AL,MORGAN,1103,1988,10594,18679
AL,MORGAN,1103,1992,15084,21065
AL,MORGAN,1103,1996,14605,21767
AL,MORGAN,1103,2000,16060,25774
AL,MORGAN,1103,2004,14131,32477
AL,MORGAN,1103,2008,13895,36014
AL,MORGAN,1103,2012,13401,35309
AL,MORGAN,1103,2016,11216,37392
AL,PERRY,1105,1984,3731,2600
AL,PERRY,1105,1988,3574,2107
AL,PERRY,1105,1992,3715,1831
AL,PERRY,1105,1996,4055,1700
AL,PERRY,1105,2000,4020,1732
AL,PERRY,1105,2004,3767,1738
AL,PERRY,1105,2008,4457,1679
AL,PERRY,1105,2012,4536,1504
AL,PERRY,1105,2016,3823,1403
AL,PICKENS,1107,1984,3586,4685
AL,PICKENS,1107,1988,3107,3851
AL,PICKENS,1107,1992,3786,3631
AL,PICKENS,1107,1996,4019,3319
AL,PICKENS,1107,2000,4143,4306
AL,PICKENS,1107,2004,3915,5170
AL,PICKENS,1107,2008,4594,5434
AL,PICKENS,1107,2012,4448,5119
AL,PICKENS,1107,2016,3972,5454
AL,PIKE,1109,1984,3541,6231
AL,PIKE,1109,1988,3813,5897
AL,PIKE,1109,1992,4690,5417
AL,PIKE,1109,1996,4519,5284
AL,PIKE,1109,2000,4357,6058
AL,PIKE,1109,2004,4334,7483
AL,PIKE,1109,2008,5879,8004
AL,PIKE,1109,2012,6009,7939
AL,PIKE,1109,2016,5039,7681
AL,RANDOLPH,1111,1984,2439,4940
AL,RANDOLPH,1111,1988,2462,4625
AL,RANDOLPH,1111,1992,3318,3815
AL,RANDOLPH,1111,1996,3025,3303
AL,RANDOLPH,1111,2000,3094,4666
AL,RANDOLPH,1111,2004,2817,6127
AL,RANDOLPH,1111,2008,3064,7175
AL,RANDOLPH,1111,2012,3076,7219
AL,RANDOLPH,1111,2016,2290,7697
AL,RUSSELL,1113,1984,7610,6654
AL,RUSSELL,1113,1988,6589,6333
AL,RUSSELL,1113,1992,8645,5585
AL,RUSSELL,1113,1996,7834,5026
AL,RUSSELL,1113,2000,8396,6198
AL,RUSSELL,1113,2004,8375,8337
AL,RUSSELL,1113,2008,10085,8705
AL,RUSSELL,1113,2012,10495,8276
AL,RUSSELL,1113,2016,9577,9210
AL,STCLAIR,1115,1984,4000,10408
AL,STCLAIR,1115,1988,4335,10604
AL,STCLAIR,1115,1992,6509,12455
AL,STCLAIR,1115,1996,6188,12765
AL,STCLAIR,1115,2000,6485,17117
AL,STCLAIR,1115,2004,5456,23500
AL,STCLAIR,1115,2008,6091,27649
AL,STCLAIR,1115,2012,5790,29001
AL,STCLAIR,1115,2016,5550,31579
AL,SHELBY,1117,1984,5884,21858
AL,SHELBY,1117,1988,7138,27052
AL,SHELBY,1117,1992,10307,32752
AL,SHELBY,1117,1996,11272,37115
AL,SHELBY,1117,2000,13183,47651
AL,SHELBY,1117,2004,14850,63435
AL,SHELBY,1117,2008,20625,69060
AL,SHELBY,1117,2012,19944,71243
AL,SHELBY,1117,2016,22927,72846
AL,SUMTER,1119,1984,4478,2493
AL,SUMTER,1119,1988,4390,2212
AL,SUMTER,1119,1992,4812,1805
AL,SUMTER,1119,1996,4706,1562
AL,SUMTER,1119,2000,4415,1629
AL,SUMTER,1119,2004,4527,1880
AL,SUMTER,1119,2008,5264,1731
AL,SUMTER,1119,2012,5420,1585
AL,SUMTER,1119,2016,4739,1581
AL,TALLADEGA,1121,1984,8490,14067
AL,TALLADEGA,1121,1988,8291,12973
AL,TALLADEGA,1121,1992,10689,12659
AL,TALLADEGA,1121,1996,10387,10933
AL,TALLADEGA,1121,2000,11264,13807
AL,TALLADEGA,1121,2004,11374,18331
AL,TALLADEGA,1121,2008,13779,20112
AL,TALLADEGA,1121,2012,13878,19217
AL,TALLADEGA,1121,2016,12108,20596
AL,TALLAPOOSA,1123,1984,4458,9045
AL,TALLAPOOSA,1123,1988,4598,8502
AL,TALLAPOOSA,1123,1992,5703,8145
AL,TALLAPOOSA,1123,1996,6074,7630
AL,TALLAPOOSA,1123,2000,6183,9805
AL,TALLAPOOSA,1123,2004,5451,12392
AL,TALLAPOOSA,1123,2008,6063,13116
AL,TALLAPOOSA,1123,2012,6252,12303
AL,TALLAPOOSA,1123,2016,5271,12967
AL,TUSCALOOSA,1125,1984,16066,28075
AL,TUSCALOOSA,1125,1988,18166,27396
AL,TUSCALOOSA,1125,1992,23520,27469
AL,TUSCALOOSA,1125,1996,23058,27952
AL,TUSCALOOSA,1125,2000,24614,34003
AL,TUSCALOOSA,1125,2004,26447,42877
AL,TUSCALOOSA,1125,2008,32796,45405
AL,TUSCALOOSA,1125,2012,32003,45703
AL,TUSCALOOSA,1125,2016,31746,47701
AL,WALKER,1127,1984,10591,12852
AL,WALKER,1127,1988,11338,11011
AL,WALKER,1127,1992,14826,11312
AL,WALKER,1127,1996,12918,9826
AL,WALKER,1127,2000,11621,13486
AL,WALKER,1127,2004,9016,19167
AL,WALKER,1127,2008,7420,20722
AL,WALKER,1127,2012,6551,21633
AL,WALKER,1127,2016,4486,24208
AL,WASHINGTON,1129,1984,3081,4434
AL,WASHINGTON,1129,1988,3402,3741
AL,WASHINGTON,1129,1992,4048,3273
AL,WASHINGTON,1129,1996,3933,2902
AL,WASHINGTON,1129,2000,3386,4117
AL,WASHINGTON,1129,2004,3145,5060
AL,WASHINGTON,1129,2008,3067,5654
AL,WASHINGTON,1129,2012,2971,5749
AL,WASHINGTON,1129,2016,2366,6031
AL,WILCOX,1131,1984,2663,2337
AL,WILCOX,1131,1988,3369,1739
AL,WILCOX,1131,1992,3437,1671
AL,WILCOX,1131,1996,3301,1454
AL,WILCOX,1131,2000,3444,1661
AL,WILCOX,1131,2004,3838,1834
AL,WILCOX,1131,2008,4612,1868
AL,WILCOX,1131,2012,4867,1676
AL,WILCOX,1131,2016,4329,1737
AL,WINSTON,1133,1984,2624,6845
AL,WINSTON,1133,1988,2954,6235
AL,WINSTON,1133,1992,3410,5549
AL,WINSTON,1133,1996,3123,4728
AL,WINSTON,1133,2000,2692,6413
AL,WINSTON,1133,2004,2236,8130
AL,WINSTON,1133,2008,1757,8103
AL,WINSTON,1133,2012,1286,8310
AL,WINSTON,1133,2016,871,9225
AK,,2000,2012,91696,121234
AK,"STHDIST1,KETCHIKAN",2001,2008,2597,4149
AK,"STHDIST2,SITKA-WRANGELL-PETE",2002,2008,3468,4029
AK,"STHDIST3,JUNEAU-DOWNTOWN-DOU",2003,2008,5657,2829
AK,"STHDIST4,JUNEAU-MENDENHALLV",2004,2008,4161,4302
AK,"STHDIST5,CORDOVA-SOUTHEASTI",2005,2008,3393,3426
AK,"STHDIST6,INTERIORVILLAGES",2006,2008,2351,4234
AK,"STHDIST7,FARMERSLOOP-STEESE",2007,2008,4283,6297
AK,"STHDIST8,DENALI-UNIVERSITY",2008,2008,4995,4983
AK,"STHDIST9,CITYOFFAIRBANKS",2009,2008,2805,4141
AK,"STHDIST10,FAIRBANKS-FORTWAI",2010,2008,2074,3392
AK,"STHDIST11,NORTHPOLE",2011,2008,1924,7736
AK,"STHDIST12,RICHARDSON-GLENNH",2012,2008,1914,5467
AK,"STHDIST13,GREATERPALMER",2013,2008,2800,8432
AK,"STHDIST14,GREATERWASILLA",2014,2008,2132,8108
AK,"STHDIST15,RURALMAT-SU",2015,2008,2510,8227
AK,"STHDIST16,CHUGIAK-SOUTHMAT-",2016,2008,2636,7774
AK,"STHDIST17,EAGLERIVER",2017,2008,2645,6621
AK,"STHDIST18,MILITARY",2018,2008,2046,4252
AK,"STHDIST19,MULDOON",2019,2008,3095,4106
AK,"STHDIST20,MOUNTAINVIEW-WOND",2020,2008,2474,2536
AK,"STHDIST21,BAXTERBOG",2021,2008,3647,4837
AK,"STHDIST22,UNIVERSITY-AIRPORT",2022,2008,3337,3109
AK,"STHDIST23,DOWNTOWN-ROGERSPA",2023,2008,4075,2808
AK,"STHDIST24,MIDTOWN-TAKU",2024,2008,3380,4127
AK,"STHDIST25,EASTSPENARD",2025,2008,3233,3042
AK,"STHDIST26,TURNAGAIN-INLETVI",2026,2008,4472,4037
AK,"STHDIST27,SANDLAKE",2027,2008,3130,5159
